id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;compromiso;destacada;ba_elige;link_interno;pliego_descarga;expediente-numero;estudio_ambiental_descarga;financiamiento
154;Hospital elizalde;Hospital elizalde - remodelación servicio reconstitución de citostáticos;Finalizada;Salud;Ministerio de salud;Se realizaron trabajos de remodelación en el servicio de reconstitución de citostáticos.;7817140.0;4;Barracas;Montes de oca, manuel av. 40;-34,62890617;-58,37761195;2017-09-05;2018-03-02;6;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_citostaticoselizalde_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_citostaticoselizalde_foto02.jpg;N/A;N/A;Grupo viarsa s.a;2016;Licitación privada;3/2016;30714207667;N/A;6;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-elizalde;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=125018;N/A;N/A;N/A
155;Hospital fernández;Hospital fernández - readecuación fí­sica angiógrafo;Finalizada;Salud;Ministerio de salud;Esta obra consistió en satisfacer la necesidad de adecuar fí­sicamente el servicio de hemodinamia debido a la instalación de un nuevo angiógrafo, respondiendo a un programa médico elevado por la dirección del hospital, adecuando fí­sicamente el servicio. la superficie que se intervino fue de 94 m2, y está distribuida en los siguientes locales: sala de examen, sala de comando, sala técnica, sala de recuperación, sanitario para pacientes, office sucio, office limpio, sala de informes, sanitario para médicos y depósito. se anexó una superficie de 5 m2 por fuera del servicio de hemodinamia, destinada al sector ups que funciona para el respectivo servicio.;8660000.0;14;Palermo;Cerviño av. 3356;-34,581139;-58,406896;2016-01-11;2017-07-27;18;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_fernandezangiografo_foto01.jpg;N/A;N/A;N/A;Philips argentina sociedad anónima;2016;Licitación pública;122--ssass-2016;30500527230;N/A;17;N/A;Si;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-fernandez;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=124481;20621168--mgeya-2016;N/A;N/A
156;Hospital cecilia grierson;Hospital cecilia grierson - remodelación y ampliación (etapa n° 2- 3° módulo);Finalizada;Salud;Ministerio de salud;Esta obra consiste en dos estructuras circulatorias bien diferenciadas: una para el público y otra para personal técnico. se incorporará el centro quirúrgico con habitaciones de terapia intensiva y habitaciones de internación corta estancia. se construirán edificios anexos como áreas de apoyo para mantenimiento, tanques y salas de gases médicos. esta intervención abarca una totalidad de 5756 m2 cubiertos y 11095 m2 descubiertos.;296735562.0;8;Villa lugano;Fernandez de la cruz, f., gral. av. 4402;-34,67375284;-58,4590247;2017-08-01;2020-05-31;33;88.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/450_1.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/450_2.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/450_3.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/450_4.jpg;Henisa sudamericana s.a.;2017;Licitación pública;212--ssass-2017;33668217759;N/A;90;N/A;Si;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-cecilia-grierson;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=130121;26323352--mgeya-2016;N/A;N/A
157;Hospital penna;Hospital penna - instalación de sistema de climatización para el servicio de unidad de terapia intensiva;Finalizada;Salud;Ministerio de salud;La obra consistió en la puesta en norma de la instalación de sistema de climatización para el servicio de unidad de terapia intensiva.;8110000.0;4;Parque patricios;Chutro, pedro, prof., dr. 3380;-34,64305175;-58,41141236;2016-08-15;2016-08-30;0;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_penna_climatizacionuti_foto1.jpg;N/A;N/A;N/A;Philips argentina sociedad anónima;2016;Licitación pública;122--ssass-2016;30500527230;N/A;17;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-penna;Https://documentosboletinoficial.buenosaires.gob.ar/publico/pe-dis-msgc-dgadcyp-134-16-anx.pdf;N/A;N/A;N/A
158;Hospital santojanni;Hospital santojanni - ampliación instalaciones centrales de oxigeno, aire comprimido vací­o (edificio 3, en 1°, 2°, 3° y 4° piso);Finalizada;Salud;Ministerio de salud;Se realizó la provisión e instalación de materiales y equipos para la ampliación de las instalaciones de oxí­geno, aire comprimido y aspiración central correspondientes al edificio 3 en los pisos 1°, 2°, 3° y 4° del hospital.;17406748.0;9;Liniers;Pilar 950;-34,64935338;-58,51580056;2016-06-21;2018-10-31;28;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_centralesdeoxigenosantojanni_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_centralesdeoxigenosantojanni_foto02.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_centralesdeoxigenosantojanniinstalacion_foto01.jpg;N/A;Ecohm s.r.l.;2014;Licitación pública;82/2014;30712548114;N/A;9;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-santojanni;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113125;N/A;N/A;N/A
159;Hospital gutiérrez;Hospital gutiérrez - trabajos de remodelación del sector de guardia, hall central y de baños públicos;Finalizada;Salud;Ministerio de salud;La obra de refacción de guardia en el hospital gutiérrez consistió en la puesta en valor de las zonas de circulación de las guardias (públicas y consultorios), las salas de espera, los nuevos sanitarios para mejorar la experiencia de los vecinos y visitantes que utilizan las áreas de guardia. en la sala de espera se retiró la cartelerí­a y señalética en paredes que comprenden el sector, se pintó la circulación de los consultorios en paredes, cielorraso y la puesta a cero los sanitarios públicos existentes.;2391883.0;2;Recoleta;Gallo 1330;-34,59452279;-58,41073191;2017-07-17;2017-11-13;4;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_gutierrezrefaccionguardia_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_gutierrezrefaccionguardia_foto02.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_gutierrezsanitarios_foto01.jpg;N/A;Indaltec s.a.;2014;Anexo contratación mantenimiento;67/2014;30650988600;N/A;10;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-gutierrez;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113102;N/A;N/A;N/A
160;Hospital gutiérrez;Hospital gutiérrez - provisión y colocación de cámara de frio de ia morgue;Finalizada;Salud;Ministerio de salud;La obra consistió en el desmonte de la cámara existente y se realizó una nueva red de emergencia de ultrafreezer.;1800000.0;2;Recoleta;Gallo 1330;-34,59452279;-58,41073191;2017-04-17;2017-08-01;4;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_gutierrez_morgue_foto01.jpg;N/A;N/A;N/A;Mejores hospitales s.a;2014;Ad mantenimiento;67/2014;30647354072;N/A;3;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-gutierrez;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113102;N/A;N/A;N/A
161;Hospital marí­a ferrer;Hospital marí­a ferrer - instalación de sistema de climatización frí­o/calor con filtrado especial - 2° parte;Finalizada;Salud;Ministerio de salud;La obra consistió en la puesta en valor de la totalidad edificada de la terapia intermedia, tareas de obra civil, termomecánica, electricidad y sanitarias. ;8250000.0;4;Barracas;Finochietto enrique dr. 849;-34,63024168;-58,37558287;2016-12-29;2017-12-29;12;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_climatizacionferrer2daetapa_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_climatizacionferrer2daetapa_foto02.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_climatizacionferrer2daetapa_foto03.jpg;N/A;Mejores hospitales s.a;2014;Decreto n° 433/16;4767/2016;30647354072;N/A;4;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-maria-ferrer;N/A;N/A;N/A;N/A
162;Hospital udaondo;Hospital udaondo - trabajos para ampliación y modificación de tableros para alimentar pabellones c y d de los transformadores actuales de pabellón a y b;Finalizada;Salud;Ministerio de salud;La obra consistió en trabajos para la ampliación y modificación de tableros para alimentar pabellones c y d de los transformadores actuales de pabellón a y b.;6263000.0;4;Parque patricios;Caseros av. 2061;-34,63434588;-58,39136092;2017-04-10;2017-12-05;8;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_udaondotablerospabelloncyd_foto01.png;N/A;N/A;N/A;Indaltec s.a.;2014;Ad. mantenimiento;86/2014;30650988600;N/A;12;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-udaondo;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113130;N/A;N/A;N/A
163;Hospital fernández;Hospital fernández - infraestructura y seguridad - 1° etapa;Finalizada;Salud;Ministerio de salud;La primer etapa de la obra de seguridad consistió en la colocación de puertas internas de seguridad en el sector de guardia y de la colocación de dos puertas dobles en el sector de la uti.;6842615.0;14;Palermo;Cerviño av. 3356;-34,581139;-58,406896;2016-09-23;2017-03-31;6;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_fernandezinfraestructurayseguridad_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_fernandezseguridad_foto01.jpg;N/A;N/A;Mig s.a.;2014;Licitación pública;66-sigaf-msgc-2014;30561265255;N/A;7;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-fernandez;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113110;2888256-2888256-mgeya-2013;N/A;N/A
167;Barrio fraga;Barrio fraga: vivienda;Finalizada;Vivienda;Instituto de la vivienda;Barrio fraga, etapa 2. 678 viviendas, 70 locales comerciales y obras exteriores. tipologí­a pb + 2 / 4 / 8 pisos. prolong. av. triunvirato, av. elcano, guevara, prolong. céspedes, prolong. teodoro garcí­a y ví­as ffcc urquiza. barrio chacarita, comuna 15.;314876218.0;15;Chacarita;Fraga y garcia, teodoro;-34,58384621;-58,45458627;2018-03-01;2019-12-31;16;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/1194.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/1194-2.jpg;N/A;N/A;Conorvial s.a - criba s.a. - pecam s.a.;2017;Licitación pública;37--ivc-2017;33504596309;2688;115;Si;Si;N/A;Https://www.buenosaires.gob.ar/baobras/barrio-fraga;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=133786;16116111--ivc-2017;N/A;N/A
168;Barrio rivera iguazú;Barrio rivera iguazú: manzana 2 - construcción de 64 viviendas;Finalizada;Vivienda;Instituto de la vivienda;Iguazú n° 1835, barrio ribera iguazú. 192 viviendas, obras exteriores y pavimentos. barrio nueva pompeya. convenio cuenca riachuelo matanza;60912546.0;4;Nueva pompeya;Iguazu 1835;-34,6582008;-58,40183877;2016-12-12;2019-03-31;27;100.0;Https://cdn2.buenosaires.gob.ar/baobras/ivc5/1332_1.jpg;Https://cdn2.buenosaires.gob.ar/baobras/ivc5/1332_2.jpg;Https://cdn2.buenosaires.gob.ar/baobras/ivc5/1332_3.jpg;Https://cdn2.buenosaires.gob.ar/baobras/ivc5/1332_4.jpg;Vivian hnos s.a.c.i.f.i.;2014;Licitación pública;Lp 29/14;30504418649;256;120;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/barrio-rivera-iguazu;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=122000;N/A;N/A;N/A
174;Barrio rivera iguazú;Barrio rivera iguazú: manzana 5 - construcción de 64 viviendas;Finalizada;Vivienda;Instituto de la vivienda;Iguazú n° 1835, barrio ribera iguazú. 192 viviendas, obras exteriores y pavimentos. barrio nueva pompeya. convenio cuenca riachuelo matanza;60821903.0;4;Nueva pompeya;Iguazu 1835;-34,6582008;-58,40183877;2017-01-01;2019-03-31;26;100.0;Https://cdn2.buenosaires.gob.ar/baobras/ivc5/1333_1.jpg;Https://cdn2.buenosaires.gob.ar/baobras/ivc5/1333_2.jpg;N/A;N/A;Bricons s.a.i.c.f.i.;2014;Licitación pública;Lp 29/14;30541068151;256;120;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/barrio-rivera-iguazu;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=122000;N/A;N/A;N/A
175;Hospital ramos mejí­a;Hospital ramos mejí­a - remodelación cocina y vestuarios;Finalizada;Salud;Ministerio de salud;"La obra comprendió la ejecución de los trabajos necesarios para dotar al hospital de un sector de almacenaje, preparación y cocción de alimentos para los pacientes internados, remodelación del sector de alimentación, oficinas varias, vestuarios para el personal afectado al servicio. además, cuenta con cámaras frigorí­ficas, sector de preparado, almacenaje, transporte vertical para los preparados y cocción; estos sectores cuentan con instalaciones acordes al uso: sanitarias, electricidad y aire acondicionado, salidas de emergencia según normativas actuales.";16089020.0;3;Balvanera;Urquiza, gral. 609;-34,61762051;-58,40940032;2017-04-26;2018-01-21;9;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_cocinayvestuariosramosmejia_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_cocinayvestuariosramosmejia_foto02.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_cocinayvestuariosramosmejia_foto03.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_cocinayvestuariosramosmejia_foto04.jpg;Ses sa;2014;Ad mantenimiento;78/2014;30647727545;N/A;22;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-ramos-mejia;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113114;N/A;N/A;N/A
176;Hospital ramos mejí­a;Hospital ramos mejí­a - ampliación central gases médicos vací­o y aire comprimido;Finalizada;Salud;Ministerio de salud;La obra consistió en la ampliación central de gases médicos, vací­o y aire comprimido para su puesta en norma.;3317643.0;3;Balvanera;Urquiza, gral. 609;-34,61762051;-58,40940032;2017-11-20;2018-06-18;7;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_gasesmedicosramos_foto01.jpeg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_gasesmedicosramos_foto02.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_ramosmejiaaireuti_foto01.jpg;N/A;Ses sa;2014;Ad mantenimiento;78/2014;30647727545;N/A;7;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-ramos-mejia;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113114;N/A;N/A;N/A
177;Hospital elizalde;Hospital elizalde - remodelación del sector de guardia;Finalizada;Salud;Ministerio de salud;La obra de refacción de guardia en el hospital elizalde consistió en la puesta en valor de las zonas de circulación de las guardias (públicas y consultorios), salas de espera, sanitarios públicos, colocación de nuevos mesones de atención para mejorar la experiencia de los vecinos y visitantes que utilizan las áreas de guardias. ;985752.0;4;Barracas;Montes de oca, manuel av. 40;-34,62890617;-58,37761195;2017-11-08;2017-11-30;0;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_elizaldeguardia_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_elizaldeguardia_foto02.jpg;N/A;N/A;Mejoramiento hospitalario s.a.;2017;Decreto n° 433/16;7545/2017;30707962654;N/A;12;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-elizalde;N/A;N/A;N/A;N/A
178;Hospital fernández;Hospital fernández - remodelación del sector de guardia;Finalizada;Salud;Ministerio de salud;La obra comprendió tareas de pintura, desmonte y reemplazo de cielorrasos suspendidos, pulido de pisos y revestimientos graní­ticos existentes, cambio de puertas de acceso a consultorios, mobiliario nuevo, cambio de artefactos de iluminación y refacción integral de sanitarios. el proyecto contó con 221 m2 cubiertos destinados al área de guardia. se mejoraron las luminarias en los distintos sectores de atención al público, como sus salas de espera de consultorios en general a nivel de planta baja, en sus 3 accesos (bulnes, cerviño y ruggieri) y el 1er. subsuelo referido al acceso de la guardia a y su circulación pública hacia la guardia b.;2579655.0;14;Palermo;Cerviño av. 3356;-34,581139;-58,406896;2017-09-06;2017-08-15;11;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/591_1.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/591_2.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/591_3.jpg;N/A;Mig s.a.;2014;Licitación pública;66-sigaf-msgc-2014;30561265255;N/A;4;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-fernandez;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113110;2888256-2888256-mgeya-2013;N/A;N/A
179;Hospital penna;Hospital penna - modificaciones en el sistema de clmatización de neonatologí­a;Finalizada;Salud;Ministerio de salud;La obra involucró trabajos complementarios a la obra de donación del centro obstétrico / neonatologí­a del hospital penna y que resultaron indispensables para el correcto funcionamiento de ambos servicios. consistieron en la ejecución de refuerzos estructurales en losa y bases existentes, la readecuación del sector en planta baja para traslado provisorio de dormitorios médicos de guardia (incluye aº aº), cambio de tramo de recorrido de cañerí­a troncal de gases medicinales y conexión desde subestación hospital penna a tablero principal centro obstétrico.;350000.0;4;Parque patricios;Chutro, pedro, prof., dr. 3380;-34,64305175;-58,41141236;2017-02-20;2017-09-08;7;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_pennaneonatologia_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_pennaneonatologia_foto02.jpg;N/A;N/A;Tecnaran s.r.l.;2017;Decreto n° 433/16;676/2016;30710210000;N/A;7;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-penna;N/A;N/A;N/A;N/A
180;Hospital penna;Hospital penna - instalación de sistema antirrayos;Finalizada;Salud;Ministerio de salud;La obra consistió en la instalación de un sistema de aislación contra rayos que protege toda la superficie del hospital;640667.0;4;Parque patricios;Chutro, pedro, prof., dr. 3380;-34,64305175;-58,41141236;2017-11-15;2018-03-14;4;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_antirrayospenna_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_antirrayospenna_foto02.jpg;N/A;N/A;Indaltec s.a.;2014;Licitación pública;74-sigaf-msgc-2014;30650988600;N/A;6;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-penna;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113129;2888966-2888966-mgeya-2013;N/A;N/A
181;Hospital piñero;Hospital piñero - remodelación del sector guardia;Finalizada;Salud;Ministerio de salud;La obra de refacción de guardia en el hospital piñero consistió en la puesta en valor de las zonas de circulación de las guardias (públicas y consultorios), salas de espera, sanitarios públicos, nuevos mesones de atención para mejorar la experiencia de los vecinos y visitantes que utilizan las áreas de guardia. en dicha sala de espera se realizó el retiro de cartelerí­a y señalética en paredes que comprenden el sector, reemplazo de mesón y nuevo mostrador atención admisión, reemplazo de puertas acceso consultorios y sanitarios. ;1900011.0;7;Flores;Varela av. 1301;-34,64412433;-58,45367459;2017-07-10;2017-10-26;3;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_pi%c3%b1erorefaccionguardia_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_pi%c3%b1erorefaccionguardia_foto02.jpg;N/A;N/A;Lesko s.a.c.i.f.i.a.;2014;Licitación pública;74-sigaf-msgc-2014;30520282528;N/A;12;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-pinero;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113105;N/A;N/A;N/A
182;Hospital rivadavia;Hospital rivadavia - trabajos de remodelación del sector de guardia;Finalizada;Salud;Ministerio de salud;La obra de refacción de guardia en el hospital rivadavia consistió en la puesta en valor de las zonas de circulación de las guardias (públicas y consultorios), salas de espera, sanitarios públicos, nuevos mesones de atención para mejorar la experiencia de los vecinos y visitantes que utilizan las áreas de guardia. además, se contemplaron tareas de pintura, desmonte y reemplazo de cielorrasos suspendidos, pulido de pisos y revestimientos graní­ticos existentes, cambio de puertas de acceso a consultorios, mobiliario nuevo, cambio de artefactos de iluminación.;14893428.0;2;Recoleta;Las heras general av. 2670;-34,58435525;-58,40081125;2017-07-25;2017-12-21;5;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_rivadaviarefaccionguardia_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_rivadaviarefaccionguardia_foto02.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_rivadaviarefaccionguardia_foto03.jpg;N/A;Mantelectric i.c.i.s.a., riva s.a.i.i.c.f.a. ute;2014;Licitación pública;79-sigaf-msgc-2014;30711854386;N/A;8;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-rivadavia-0;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113106;2886953-2886953-mgeya-2013;N/A;N/A
184;Hospital vélez sarfield;Hospital vélez sarfield - remodelación guardia;Finalizada;Salud;Ministerio de salud;La obra de refacción de guardia en el hospital vélez sarsfield consistió en la puesta en valor de las zonas de circulación de las guardias (públicas y consultorios), salas de espera, sanitarios públicos, nuevos mesones de atención para mejorar la experiencia de los vecinos y visitantes que utilizan las áreas de guardia. en dicha sala de espera se retiró la cartelerí­a y señalética en paredes que comprenden el sector y se realizaron trabajos de pintura en el mesón de atención existente y en la circulación de los consultorios. ;1748496.0;10;Monte castro;Calderon de la barca, pedro 1550;-34,62522696;-58,50749905;2017-06-22;2017-09-19;3;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_velezrefaccionguardia_foto01.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_velezrefaccionguardia_foto02.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_velezrefaccionguardia_foto03.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_velezrefaccionguardia_foto04.jpg;Sehos s.a.;2014;Ad. mantenimiento;87/2014;30649820704;N/A;6;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-velez-sarfield;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113133;N/A;N/A;N/A
185;Hospital zubizarreta;Hospital zubizarreta - remodelación guardia;Finalizada;Salud;Ministerio de salud;La obra de refacción de guardia en el hospital zubizarreta consistió en la puesta en valor de las zonas de circulación de las guardias (públicas y consultorios), salas de espera, sanitarios públicos, nuevos mesones de atención para mejorar la experiencia de los vecinos y visitantes que utilizan las áreas de guardia. en dicha sala de espera se retiró la cartelerí­a y señalética en paredes que comprenden el sector y se realizaron trabajos de pintura en el mesón de atención existente y en la circulación de los consultorios. ;11089624.0;11;Villa devoto;Nueva york 3952;-34,59990466;-58,51120493;2017-08-29;2017-11-27;3;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_zubizarretaguardianueva_foto01.jpg;N/A;N/A;N/A;Sehos s.a.;2014;Ad. mantenimiento;88/2014;30649820704;N/A;6;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/hospital-zubizarreta;Https://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=113119;N/A;N/A;N/A
187;Centros de salud en villa lugano;Cesac n° 28: adecuación edilicia para su instalación;Finalizada;Salud;Ministerio de salud;"La obra comprendió la unión entre las obras e instalaciones nuevas con las existentes. por lo tanto, se llevó a cabo la demolición, retiro de instalaciones existentes, retiro y picado de pisos y revestimientos, cerramiento de vanos con mamposterí­a, reparación de revoques exteriores e interiores, reparación y ejecución de contrapisos, banquinas bajo mesadas y cordones para tabiques de placas de roca y de yeso en locales húmedos, construcción de tabiques y cielorrasos de placas de roca de yeso. se realizaron la colocación de pisos y zócalos y revestimientos cerámicos en baños, vacunatorio y estar de enfermerí­a, mesadas de granito con bachas de acero inox., muebles bajo mesada, heladera bajo mesada y anafe eléctrico; colocación y pintura de carpinterí­as, puertas y ventanas con vidrios y espejos en baños, instalaciones sanitarias, eléctricas, gases médicos (oxí­geno), contra incendio (matafuegos), termomecánica (aire frio calor).";4000000.0;8;Villa lugano;Soldado de la frontera av. 5144;-34,68453808;-58,46414681;2016-12-22;2017-01-31;1;100.0;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_adecuacionediliciadelcesac28_foto1.jpg;Https://cdn2.buenosaires.gob.ar/baobras/salud4/salud_adecuacionediliciadelcesac28_foto2.jpg;N/A;N/A;Mad desarollos s.r.l.;2016;Decreto n° 433/16;5048/2016;30715105213;N/A;9;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/centros-de-salud-en-villa-lugano;N/A;N/A;N/A;N/A
188;Centros de salud en villa lugano;Cesac n° 3: adecuación edilicia para su instalación;Finalizada;Salud;Ministerio de salud;"La obra comprendió la unión entre las obras e instalaciones nuevas con las existentes. por lo tanto, se llevó a cabo la demolición, retiro de instalaciones existentes, retiro y picado de pisos y revestimientos, cerramiento de vanos con mamposterí­a, reparación de revoques exteriores e interiores, reparación y ejecución de contrapisos, banquinas bajo mesadas y cordones para tabiques de placas de roca y de yeso en locales húmedos, construcción de tabiques y cielorrasos de placas de roca de yeso. se realizaron la colocación de pisos y zócalos y revestimientos cerámicos en baños, vacunatorio y estar de enfermerí­a, mesadas de granito con bachas de acero inox., muebles bajo mesada, heladera bajo mesada y anafe eléctrico; colocación y pintura de carpinterí­as, puertas y ventanas con vidrios y espejos en baños, instalaciones sanitarias, eléctricas, gases médicos (oxí­geno), contra incendio (matafuegos), termomecánica (aire frio calor).";3983941.0;8;Villa lugano;Soldado de la frontera av. 5144;-34,68453808;-58,46414681;2017-05-04;2017-06-06;1;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/id645_1.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/id645_2.jpg;N/A;N/A;Mad desarollos s.r.l.;2017;Decreto n° 433/16;2458/2017;30715105213;N/A;9;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/centros-de-salud-en-villa-lugano;N/A;N/A;N/A;N/A
